Customer_ID,Customer_Name,Customer_Segment,Account_Type,Tenure_Years,Region,Is_Premium,Monthly_Txn_Count,Credit_Score_Band,Tenure_Tier,Activity_Tier
CUST00001,Vickie Fuller,Retail,Business,10.5,North,0,34,Fair,Loyal (7yr+),High
CUST00002,Sarah Pierce,Retail,Business,4.4,South,1,46,Poor,Established (3-7yr),Very High
CUST00003,Brett Vega,Corporate,Salary,4.0,South,0,3,Good,Established (3-7yr),Low
CUST00004,David Porter,Retail,NRI,2.9,North,0,5,Excellent,Growing (1-3yr),Low
CUST00005,Teresa Williams,SME,Savings,3.7,West,1,14,Very Good,Established (3-7yr),Medium
CUST00006,Tyler Knight,Corporate,Savings,8.6,East,1,3,Fair,Loyal (7yr+),Low
CUST00007,Sarah Lee,Corporate,Salary,6.4,South,0,23,Fair,Established (3-7yr),Medium
CUST00008,Stephen Barrett,Retail,Current,1.4,South,0,39,Fair,Growing (1-3yr),High
CUST00009,Steven Gordon,Retail,NRI,4.2,East,0,30,Fair,Established (3-7yr),High
CUST00010,Elizabeth Weaver,Retail,Business,4.1,Central,0,50,Excellent,Established (3-7yr),Very High
CUST00011,Mary Hunter,Corporate,Current,10.6,North,1,45,Poor,Loyal (7yr+),Very High
CUST00012,Robert Bush,Retail,Salary,10.8,West,0,23,Excellent,Loyal (7yr+),Medium
CUST00013,Michael Bell,SME,NRI,2.6,North,0,27,Good,Growing (1-3yr),High
CUST00014,Carolyn Butler,Retail,NRI,15.0,East,0,10,Excellent,Loyal (7yr+),Low
CUST00015,Christopher Snyder,SME,NRI,4.4,Central,0,25,Excellent,Established (3-7yr),Medium
CUST00016,Katrina Thomas,Retail,Current,14.7,North,0,13,Good,Loyal (7yr+),Medium
CUST00017,Frank Noble,Retail,Current,6.5,South,0,16,Excellent,Established (3-7yr),Medium
CUST00018,Meghan Lynn,SME,Salary,1.0,East,1,41,Poor,New (0-1yr),Very High
CUST00019,Ryan Morgan,Retail,Business,5.5,West,1,34,Very Good,Established (3-7yr),High
CUST00020,Joyce Jones,Retail,Current,9.7,West,1,37,Good,Loyal (7yr+),High
CUST00021,Dustin Reed,Retail,Savings,10.4,South,0,22,Fair,Loyal (7yr+),Medium
CUST00022,Scott Hicks,Retail,Current,8.2,North,1,17,Poor,Loyal (7yr+),Medium
CUST00023,Mary Brown,Retail,Current,7.0,South,0,23,Very Good,Established (3-7yr),Medium
CUST00024,Jose Stone,Corporate,NRI,8.5,Central,1,36,Poor,Loyal (7yr+),High
CUST00025,Kevin Hodge,Retail,Savings,9.1,West,0,49,Poor,Loyal (7yr+),Very High
CUST00026,Margaret Murray,SME,Business,1.7,West,1,9,Fair,Growing (1-3yr),Low
CUST00027,Kimberly Floyd,Retail,Savings,5.9,North,0,2,Very Good,Established (3-7yr),Low
CUST00028,Daniel Kim,Retail,Business,4.0,West,0,32,Poor,Established (3-7yr),High
CUST00029,John Nelson,Retail,Salary,12.1,South,0,50,Fair,Loyal (7yr+),Very High
CUST00030,Linda Adams,Retail,NRI,7.3,South,0,22,Good,Loyal (7yr+),Medium
CUST00031,Jacob Roach,Retail,Salary,14.8,South,0,43,Fair,Loyal (7yr+),Very High
CUST00032,Thomas Cruz,Corporate,Current,6.3,East,0,13,Excellent,Established (3-7yr),Medium
CUST00033,Samuel Price,Premium,Current,12.3,West,1,8,Fair,Loyal (7yr+),Low
CUST00034,Justin Ramirez,SME,NRI,12.1,West,0,1,Fair,Loyal (7yr+),Low
CUST00035,Robert Nguyen,Corporate,Salary,2.7,South,0,17,Fair,Growing (1-3yr),Medium
CUST00036,Amanda English,Premium,Savings,7.9,Central,0,12,Poor,Loyal (7yr+),Medium
CUST00037,Evan Mcdonald II,Retail,Salary,10.6,Central,0,4,Very Good,Loyal (7yr+),Low
CUST00038,Michael Lynn,Retail,Business,12.9,East,0,13,Fair,Loyal (7yr+),Medium
