Customer_ID,Customer_Name,Customer_Segment,Account_Type,Tenure_Years,Region,Is_Premium,Monthly_Txn_Count,Credit_Score_Band
CUST00001,Vickie Fuller,Retail,Business,10.5,North,0,34,Fair
CUST00002,Sarah Pierce,Retail,Business,4.4,South,1,46,Poor
CUST00003,Brett Vega,Corporate,Salary,4.0,South,0,3,Good
CUST00004,David Porter,Retail,NRI,2.9,North,0,5,Excellent
CUST00005,Teresa Williams,SME,Savings,3.7,West,1,14,Very Good
CUST00006,Tyler Knight,Corporate,Savings,8.6,East,1,3,Fair
CUST00007,Sarah Lee,Corporate,Salary,6.4,South,0,23,Fair
CUST00008,Stephen Barrett,Retail,Current,1.4,South,0,39,Fair
CUST00009,Steven Gordon,Retail,NRI,4.2,East,0,30,Fair
CUST00010,Elizabeth Weaver,Retail,Business,4.1,Central,0,50,Excellent
CUST00011,Mary Hunter,Corporate,Current,10.6,North,1,45,Poor
CUST00012,Robert Bush,Retail,Salary,10.8,West,0,23,Excellent
CUST00013,Michael Bell,SME,NRI,2.6,North,0,27,Good
CUST00014,Carolyn Butler,Retail,NRI,15.0,East,0,10,Excellent
CUST00015,Christopher Snyder,SME,NRI,4.4,Central,0,25,Excellent
CUST00016,Katrina Thomas,Retail,Current,14.7,North,0,13,Good
CUST00017,Frank Noble,Retail,Current,6.5,South,0,16,Excellent
CUST00018,Meghan Lynn,SME,Salary,1.0,East,1,41,Poor
CUST00019,Ryan Morgan,Retail,Business,5.5,West,1,34,Very Good
CUST00020,Joyce Jones,Retail,Current,9.7,West,1,37,Good
CUST00021,Dustin Reed,Retail,Savings,10.4,South,0,22,Fair
CUST00022,Scott Hicks,Retail,Current,8.2,North,1,17,Poor
CUST00023,Mary Brown,Retail,Current,7.0,South,0,23,Very Good
CUST00024,Jose Stone,Corporate,NRI,8.5,Central,1,36,Poor
CUST00025,Kevin Hodge,Retail,Savings,9.1,West,0,49,Poor
CUST00026,Margaret Murray,SME,Business,1.7,West,1,9,Fair
CUST00027,Kimberly Floyd,Retail,Savings,5.9,North,0,2,Very Good
CUST00028,Daniel Kim,Retail,Business,4.0,West,0,32,Poor
CUST00029,John Nelson,Retail,Salary,12.1,South,0,50,Fair
CUST00030,Linda Adams,Retail,NRI,7.3,South,0,22,Good
CUST00031,Jacob Roach,Retail,Salary,14.8,South,0,43,Fair
CUST00032,Thomas Cruz,Corporate,Current,6.3,East,0,13,Excellent
CUST00033,Samuel Price,Premium,Current,12.3,West,1,8,Fair
CUST00034,Justin Ramirez,SME,NRI,12.1,West,0,1,Fair
CUST00035,Robert Nguyen,Corporate,Salary,2.7,South,0,17,Fair
CUST00036,Amanda English,Premium,Savings,7.9,Central,0,12,Poor
CUST00037,Evan Mcdonald II,Retail,Salary,10.6,Central,0,4,Very Good
CUST00038,Michael Lynn,Retail,Business,12.9,East,0,13,Fair
CUST00039,Tanya Robbins,Retail,Current,5.2,Central,0,31,Fair
CUST00040,Sandra Campbell,Retail,Savings,3.7,South,0,41,Excellent
